Date,Open,High,Low,Close,Adj Close,Volume
15/9/2015,43.25,43.25,41.700001,42.150002,40.829819,32326106
16/9/2015,42.849998,43.599998,42.200001,43.099998,41.750061,33994749
17/9/2015,43.799999,43.799999,42.650002,43.200001,41.846931,37234991
18/9/2015,43,43.75,42.950001,43.200001,41.846931,33648653
21/9/2015,42.849998,43.200001,42.25,42.700001,41.362591,15944671
22/9/2015,42.950001,43.599998,42.5,42.5,41.168858,16576806
23/9/2015,42.049999,42.5,40.5,41.700001,40.393917,29655751
24/9/2015,41.599998,42,40.5,40.599998,39.328365,31301823
25/9/2015,40.599998,41.099998,40.25,40.599998,39.328365,34276649
29/9/2015,40.599998,40.599998,38.849998,39.349998,38.117516,36460172
30/9/2015,39.549999,40.400002,39.549999,40.049999,38.795593,57266997
2/10/2015,40.049999,42.599998,40.049999,42.549999,41.217289,57351941
5/10/2015,43.049999,43.299999,42.299999,42.700001,41.362591,35895160
6/10/2015,43.450001,43.450001,42.599998,42.650002,41.314163,24730636
7/10/2015,43.299999,44.200001,42.799999,44.049999,42.670303,35018918
8/10/2015,44.75,44.849998,44,44.349998,42.960911,30848496
9/10/2015,44.849998,45,44.549999,44.650002,43.251518,26945009
12/10/2015,44.700001,45.450001,44.5,45,43.590549,26781135
13/10/2015,44.599998,44.950001,43.349998,44.25,42.86404,26291235
14/10/2015,43.650002,44.25,43.400002,43.849998,42.47657,18894344
15/10/2015,44.5,45,44.150002,44.700001,43.299953,27612108
16/10/2015,46.150002,47.200001,46,46.200001,44.752968,45396245
19/10/2015,47.200001,47.450001,45.650002,45.799999,44.365494,26055143
20/10/2015,45.5,46.099998,45.099998,45.900002,44.462364,20384987
22/10/2015,45.900002,45.900002,45.200001,45.400002,43.978027,20115957
23/10/2015,46.200001,46.950001,46.150002,46.75,45.28574,26154421
26/10/2015,47.75,47.75,46.549999,46.650002,45.188877,25205029
27/10/2015,46.299999,47,46.25,46.900002,45.431046,20297905
28/10/2015,47.099998,47.400002,46.799999,46.849998,45.382607,18911936
29/10/2015,46.799999,47.349998,46.549999,47,45.527908,26172881
30/10/2015,47.5,47.5,45.5,45.599998,44.171757,33906295
2/11/2015,45.150002,46.150002,44.799999,45.599998,44.171757,24638984
